IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160013913,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,##########,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.42207,37.7373624,"(37.7373623605213, -122.422067184937)",1.6001E+13
160013913,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,##########,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.42207,37.7373624,"(37.7373623605213, -122.422067184937)",1.6001E+13
160014369,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,##########,01:00,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.41175,37.7859988,"(37.7859988323798, -122.411747371924)",1.6001E+13
160014375,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,##########,12:13,MISSION,"ARREST, BOOKED",17TH ST / HOFF ST,-122.42043,37.7633758,"(37.7633758058059, -122.420434724553)",1.6001E+13
160014381,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,##########,08:00,TENDERLOIN,NONE,300 Block of ELLIS ST,-122.41199,37.7850227,"(37.7850226622786, -122.411987643595)",1.6001E+13
160014397,OTHER OFFENSES,FALSE PERSONATION,Monday,##########,15:10,RICHMOND,NONE,700 Block of 40TH AV,-122.50038,37.7746206,"(37.7746206491065, -122.500380427915)",1.6001E+13
160014836,ROBBERY,ROBBERY OF A CHAIN STORE WITH A KNIFE,Wednesday,##########,14:23,RICHMOND,NONE,700 Block of CABRILLO ST,-122.46656,37.7751918,"(37.7751918267217, -122.466558780683)",1.6001E+13
160014858,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,##########,06:00,TARAVAL,NONE,2000 Block of 29TH AV,-122.48693,37.7490842,"(37.7490841729028, -122.486925960114)",1.6001E+13
160015163,NON-CRIMINAL,AIDED CASE,Wednesday,##########,16:09,MISSION,NONE,14TH ST / FOLSOM ST,-122.41562,37.768536,"(37.7685360123583, -122.41561633832)",1.6002E+13
160015276,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,##########,20:00,PARK,NONE,1000 Block of COLE ST,-122.44975,37.7644298,"(37.7644297714074, -122.449751652563)",1.6002E+13
160015276,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,##########,20:00,PARK,NONE,1000 Block of COLE ST,-122.44975,37.7644298,"(37.7644297714074, -122.449751652563)",1.6002E+13
160015282,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,##########,17:00,TARAVAL,NONE,0 Block of ARDENWOOD WY,-122.47272,37.7352681,"(37.7352681469084, -122.472715759631)",1.6002E+13
160015470,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,##########,09:00,TARAVAL,NONE,2500 Block of KIRKHAM ST,-122.48812,37.7592806,"(37.7592805524173, -122.488120173893)",1.6002E+13
160015486,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,##########,17:20,MISSION,JUVENILE BOOKED,CAPP ST / 22ND ST,-122.41766,37.7555043,"(37.7555043420028, -122.417660640341)",1.6002E+13
160212234,TRESPASS,TRESPASSING,Sunday,03/13/2016 12:00:00 AM,12:15,SOUTHERN,"ARREST, BOOKED",100 Block of 3RD ST,-122.40103,37.7853906,"(37.7853906306613, -122.401027740415)",1.6021E+13
160212240,SECONDARY CODES,JUVENILE INVOLVED,Sunday,03/13/2016 12:00:00 AM,11:45,NORTHERN,NONE,400 Block of PAGE ST,-122.42818,37.7732954,"(37.773295406746, -122.428178458093)",1.6021E+13
160016337,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,##########,01:25,INGLESIDE,"ARREST, BOOKED",GENEVA AV / CAYUGA AV,-122.4437,37.718928,"(37.718927976006, -122.443696904615)",1.6002E+13
160016343,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,##########,01:17,TARAVAL,NONE,3200 Block of 20TH AV,-122.47565,37.7285281,"(37.7285280627465, -122.475647460786)",1.6002E+13
160016428,WARRANTS,WARRANT ARREST,Thursday,##########,03:30,TARAVAL,"ARREST, BOOKED",0 Block of SERRANO DR,-122.47592,37.7201092,"(37.7201092063584, -122.475924482317)",1.6002E+13
160016569,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,##########,06:30,MISSION,NONE,GUERRERO ST / 23RD ST,-122.42303,37.7535682,"(37.7535681941214, -122.423028526535)",1.6002E+13
160016581,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Thursday,##########,07:12,SOUTHERN,"ARREST, BOOKED",700 Block of TEHAMA ST,-122.41181,37.7751286,"(37.7751286438667, -122.411814467067)",1.6002E+13
160016581,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,##########,07:12,SOUTHERN,"ARREST, BOOKED",700 Block of TEHAMA ST,-122.41181,37.7751286,"(37.7751286438667, -122.411814467067)",1.6002E+13
160016581,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,##########,07:12,SOUTHERN,"ARREST, BOOKED",700 Block of TEHAMA ST,-122.41181,37.7751286,"(37.7751286438667, -122.411814467067)",1.6002E+13
160016581,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,##########,07:12,SOUTHERN,"ARREST, BOOKED",700 Block of TEHAMA ST,-122.41181,37.7751286,"(37.7751286438667, -122.411814467067)",1.6002E+13
160016951,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,##########,02:00,MISSION,NONE,CASTRO ST / 17TH ST,-122.43519,37.7626703,"(37.7626702770872, -122.435187699349)",1.6002E+13
160016989,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Thursday,##########,10:55,SOUTHERN,"ARREST, BOOKED",5TH ST / TEHAMA ST,-122.40441,37.781076,"(37.7810759636856, -122.404407887961)",1.6002E+13
150437862,WARRANTS,WARRANT ARREST,Monday,##########,18:05,BAYVIEW,"ARREST, BOOKED",3RD ST / PALOU AV,-122.39097,37.7340152,"(37.7340152180723, -122.390971734551)",1.5044E+13
150480366,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,##########,15:00,NORTHERN,"ARREST, BOOKED",PINE ST / POLK ST,-122.4205,37.7896188,"(37.789618819255, -122.42049728879)",1.5048E+13
